Company Name,Job Title,Location,Location-2,Base Salary,Job Description
Loudoun County Government,ASSISTANT COUNTY ADMINISTRATOR,Leesburg, ,N/A,"
Job Type Open and Competitive.
Full/Part-Time Full-Time.
"
"CareQuality, LLC",Satisfaction Interviewer (Remote),Remote, ,N/A,"
CareQuality is growing quickly and is seeking highly accountable, empathetic, and friendly individuals who can type at least 60 WPM while talking on the phone.
"
Carolina Park Academy,Assistant Teacher/Floater,Mount Pleasant, ,N/A,"
High school diploma or GED required.
Must have experience working in a licensed child care or preschool.
Childhood Development Associate (CDA) or Associate's…
"
hear.com,newSales Consultant,+14 locationsRemote, ,N/A,"
Warm Leads, No Cold Calling.
$43,264 Base Salary & Uncapped Commission, earning an average of 65K the first year.
During a typical day, you will...*.
"
"Valley Proteins, Inc.",newMillwright Full Time,Rose Hill, ,N/A,"
This is a pivotal role where you will be responsible for using specialized tools to build and repair machines.
Hands-on experience with industrial equipment.
"
Orange Spot Coffee,Barista,North Charleston, ,N/A,"
Prepare hot and cold drinks in accordance with customer needs *Maintain a clean and tidy work area *Follow health and safety guidelines Interact with customers…
"
US Department of State - Agency Wide,Passport Specialist,Remote in New York, ,N/A,"
Examines evidence of citizenship submitted with applications to determine and judge authenticity and adequacy in relation to laws, regulation, and procedures…
"
US Air Mobility Command,newChild and Youth Program Assistant,Charleston AFB, ,N/A,"
The incumbent will serve as a Child and Youth Program Assistant (CYPA) in one or more child and youth programs and will be accountable for the whereabouts and…
"
US Air Mobility Command,Library Aid,Charleston AFB, ,N/A,"
Shelves books, magazines, and other library materials ensuring all materials are reshelved in correct order.
Assists with annual inventory of collection.
"
Files.com,Customer Support Engineer,Remote, ,N/A,"
Big Company Benefits: You'll get full Health/Dental/Vision Insurance coverage (plus 75% of Spouse/Family coverage too), 401(k) with generous matching, 11…
"
Roper St. Francis Healthcare,MD Receptionist,Summerville, ,N/A,"
Greets, instructs, directs and schedules patients and family members.
Work with all patients to schedule appointments that best meet their needs.
"
Charleston Dog Walker,Morning Pet Sitter,Charleston, ,N/A,"
You'll brighten their days by giving them breakfast, taking dogs out for potty breaks and walks, freshening up litter boxes, and enjoying lots of playtime!
"
My Three Dogs,Dog Bather,Summerville, ,N/A,"
Candidates must be comfortable performing basic bathing and grooming services (bathing, nail trims, brushing) on a variety of dog sizes and coat types.
"
United Nations Development Programme (UNDP),newDisability Inclusion Specialist - IPSA 11,Remote, ,Estimated $77K – $97.6K a year,"
Type of Contract : IPSA (Regular).
All selected candidates will, therefore, undergo rigorous reference and background checks.
"
US National Park Service,Interdisciplinary Project Manager,Gatlinburg, ,N/A,"
Open to all U.S. Citizens.
"
Chick-fil-A Northwoods Mall,newChick-fil-A Front of House Team Member,North Charleston, ,N/A,"
Taking orders and preparing beverages.
Maintaining a clean environment for our guests.
Competitive pay among the food industry.
Job Types: Full-time, Part-time.
"
Wendy's,Wendy's Crew Member,North Charleston, ,N/A,"
Utilizing knowledge of positional skills, customer service and courtesy, health and safety regulations and all Wendy's policies and procedures.
"
FSS,Wheelchair Agent,North Charleston, ,N/A,"
Hiring full time / part time wheel chair agents*.
All shifts Morning , afternoon and Nights.
Job Types: Full-time, Part-time.
"
Epic Games,Game Tester,Cary, ,Estimated $57.5K – $72.9K a year,"
You'll love this role if you're an innovative problem-solver who loves to ask the tough questions; you should be willing and excited to constantly push your own…
"
Pink Bellies,Cook,Charleston, ,N/A,"
Positions are part time or full time with overtime available, if interested.
Health insurance for full time employees.
Job Types: Full-time, Part-time.
"
E&E Foods,Alaska Seafood Processor Job,Puerto Rico+15 locations, ,N/A,"
Room, Board, and transportation provided.
We're hiring seasonal workers to offload, cut, clean, rack, and case up fresh and frozen salmon product.
"
American Seafoods Company,newProcessor - Fishing Vessel - B Season 2022!,United States+1 location, ,N/A,"
12 to 16 hours per day for the duration of the trip, including loading and unloading.
We offer free room and board, health insurance and 401K along with…
"
FRANK Content Inc.,newProduction Assistant,Charleston, ,N/A,"
Production Assistant - Load In / Loud Out.
Description: Help support Producers during load in and load out process on TV production set.
"
"SEJ Services, LLC",Weekend Porter,Huger, ,N/A,"
Hours – 12 hours or less per week depending on the assignment.
Vacuuming, restroom cleaning, window cleaning, dusting, trash disposal, emergency requests, and…
"
Chipotle Mexican Grill,Team Member - Monday through Friday 8a-4p,Charleston, ,N/A,"
Tuition assistance (100% coverage for select degrees or up to $5,250/year).
Free food (yes, really FREE).
Medical, dental, and vision insurance.
"
Syndicate Energy Services,Flowtester - Flowback,Watford City, ,N/A,"
Employment opportunities available for flowback and well testing supervisors, night operators and entry level assistants.
Exhibit strong, desirable work ethic.
"
Chewy,Warehouse Worker,Arizona+126 locations, ,N/A,"
Overtime available with additional incentives offered on a week-to-week basis!
Night shifts start from $17.50 - $18.50!!
Wellness programs, Teledoc, and EAP.
"
"WeeCare, Inc.",Family Babysitter,Charleston, ,N/A,"
Babysitters needed (full-time and part-time jobs available) for families nearby.
Job Types: Full-time, Part-time.
"
Bosch Group,newWarehouse Associate,Summerville, ,N/A,"
Daily operation of powered industrial trucks or other material handling equipment.
Daily use of hand held RF scanner.
Prepare parts and materials for shipments.
"
LeaseSimple,Commercial Real Estate Analyst,Remote, ,N/A,"
The ability to commit to at least 12 months or so (stability in the analyst role helps our clients).
We are looking for an experienced real estate financial…
"
Delivery Drivers Inc.,Walmart Delivery Driver - Earn up to $20/hr,Georgetown, ,N/A,"
Smartphone: For optimal use, we recommend using iOS 13 and newer or Android 6.0 and higher.
Join Walmart and deliver groceries with the Spark Driver App.
"
Olive Garden,Dishwasher - Starting pay $13 per hour,Rock Hill, ,N/A,"
Flexible schedules to help you balance other life commitments (school, childcare, family care, etc.).
Paid Sick Leave (1 hour for every 30 hours worked, begin…
"
Saint Francis Health System,"newNurse, Clinical Internal Traveler **Featured Job** 13 week a...",Tulsa, ,N/A,"
13 week assignment with possible extension per admin approval.
1 year related experience in selected specialty.
1 year a Registered Nurse experience required.
"
Innovative Housing Development Corporation,Direct Care Worker-Part time Liberty Group home midnights an...,Port Huron, ,N/A,"
A high school diploma or equivalent is required.
Must be flexible and possess a variety of skills.
Physical health compatible with demands of the job and…
"
Edible Arrangements Charleston area,newchocolate dipper and decorator,Charleston, ,N/A,"
Charleston, SC 29407: Reliably commute or planning to relocate before starting work (Preferred).
"
Bed Bath & Beyond,Sales Clerk,Charleston, ,N/A,"
As a Cashier, you will be responsible for exceeding our customers’ evolving expectations by providing “best in class” customer service and a pleasant and…
"
Bed Bath & Beyond,Retail Cashier,Charleston, ,N/A,"
As a Cashier, you will be responsible for exceeding our customers’ evolving expectations by providing “best in class” customer service and a pleasant and…
"
CSL Plasma,Phlebotomist,Charleston, ,N/A,"
13 Maintains clean efficient work environment, and ensures sufficient operating supplies .
 Responsible for the efficient and effective collection of plasma…
"
Knight Printing & Graphics,Commercial Print and Graphics Technician,North Charleston, ,N/A,"
Maintain flow from Proofing email inbox for customer revisions and approvals.
Reports to General Manager of Knight Printing & Graphics.
"
MV Realty,Real Estate Transfer Specialist- Oklahoma,Remote in Oklahoma+29 locations, ,N/A,"
Benefits after 90 days including 13 days of PTO.
Your role will be to call potential leads and live transfer calls to Real Estate Agents.
"
Velcro USA,Loom Fixer- 1st Shift,Somersworth, ,Estimated $34.9K - $44.1K a year,"
Velcro USA Inc. Provides competitive pay and a superior benefits package that includes 100% 401(k) match up to 5.5%, generous wellness program, 13 paid holidays…
"
Plas-Tech Engineering,Document Control Manager/MQA/MQC,Lake Geneva, ,N/A,"
Responsible for the management and oversight of QA/QC Technicians.
Responsible for the organization, administration, and supervision of 1-5 QA/QC Analysts and…
"
National Security Agency,Collection Professional,Fort Meade, ,N/A,"
High school diploma or GED plus 13 years of relevant experience, or an Associate's degree plus 11 years of relevant experience may be considered.
"
Jersey Mikes Subs,Restaurant Staff ($13-$18/hour),North Charleston, ,N/A,"
Food that meets Jersey Mike’s specifications and high quality standards.
Job Types: Full-time, Part-time, Temporary.
"
Delivery Drivers Inc.,Walmart Grocery Delivery,Georgetown, ,N/A,"
Smartphone: For optimal use, we recommend using iOS 13 and newer or Android 6.0 and higher.
Join Walmart and deliver groceries with the Spark Driver App.
"
Chick-fil-A Rivers Avenue,newTeam Member $11-$14,North Charleston, ,N/A,"
At Chick-fil-A Rivers Avenue, the Team Member role is more than just a job, it’s an opportunity.
We are seeking part-time and full-time candidates who have…
"
Greg Norman,newRetail Sales Associate,North Charleston, ,N/A,"
Must be able to climb a ladder – 8’ or 14’.
Role Summary: *Support the Store Manager in overseeing sales, merchandising, providing outstanding customer…
"
Chick-fil-A,newFront of House Team Member,Goose Creek, ,N/A,"
Be at least 14 years of age.
Chick-fil-A, Inc. is a family owned and privately held restaurant company founded in 1967 by S. Truett Cathy.
"
Bed Bath & Beyond,newSales Representative,Mount Pleasant, ,N/A,"
Pay Rate Start at $14 Our mission at Bed Bath & Beyond is to make it easy for our customers, and our associates, to feel at home.
"
Come Back Shack,newTerrific Team Member Full-Time DAY,Mount Pleasant, ,N/A,"
Full Time- No Weekends $14.
Come Back Shack is a small business in Charleston, SC.
We are supportive, fun, fast-paced and our goal is to be the #1 Quick Serve…
"
STARTEK,Inbound Work at Home Customer Service Representative - Start...,+1 locationRemote, ,N/A,"
Pay starts at a minimum of $14 per hour!
Startek is a global leader in providing new-age customer experience solutions.
Let’s do this together!
"
Come Back Shack,Terrific Team Member Full-Time,North Charleston, ,N/A,"
Experienced Full-Time (32+ hrs/wk) w/ Restrictions $14.
Come Back Shack is a small business in Charleston, SC.
Inexperienced Full Time $13.
"
Bed Bath & Beyond,newCustomer Attendant,Mount Pleasant, ,N/A,"
Pay Rate Start at $14 Our mission at Bed Bath & Beyond is to make it easy for our customers, and our associates, to feel at home.
"
SCANDRILL INC,Floorhand/Roughneck,Tyler, ,N/A,"
Work 14 days on and 14 days off.
Start your oilfield career as a Floorhand and learn everything from the ground up.
Pay: $74,000.00 - $107,000.00 per year.
"
Discount Tire,newTire Service Technician - North Charleston,North Charleston, ,N/A,"
Pay Scale $14-$16.
NO AUTOMOTIVE EXPERIENCE REQUIRED: WE PAY YOU WHILE WE TRAIN YOU!
At Discount Tire, our employees are at the center of our success.
"
ESP LLC,Frac Operator,Vernal, ,N/A,"
14 on 14 off schedule.
Immediate opening for Frac Operators.
Housing provided for non-local applicants.
Professional environment requires contactors to be…
"
SM&A,Scheduler For Aircraft,+11 locationsRemote, ,N/A,"
Their experience includes running the DCMA 14 point assessment, critical path analysis, and Monte Carlo schedule risk assessment.
Join SMA for an adventure:
"
Bed Bath & Beyond,newSales Assoc,Mount Pleasant, ,N/A,"
Pay Rate Start at $14 Our mission at Bed Bath & Beyond is to make it easy for our customers, and our associates, to feel at home.
"
McAlisters Deli,Hiring Restaurant Team Members $12-$14 McAlister's Deli Sava...,Savannah, ,N/A,"
We are hiring the best:
Do you want to work in a high-paced and truly team member friendly environment?
We are one of the most rapidly growing fast casual…
"
Medical University of South Carolina,newPatient Access Services Representative,Charleston, ,N/A,"
Opening date: 14 Apr 2022 Eastern Daylight Time.
Entity: Medical University Hospital Authority (Medical Center).
Scheduled Work Hours/Shift: Day.
"
Converse,newConverse Charleston Associate Retail Sales Part-Time Under,North Charleston, ,N/A,"
All retail opportunities nationwide have a starting wage of at least $15.00 per hour.
As a Part-Time Under Sales Associate you will be responsible for driving…
"
Thorne Research,Production Operators,Summerville, ,N/A,"
Thorne Research is growing and hiring 15+ Production Operators to join our 1st and 2nd shift Teams for our entry level opportunities and skilled positions.
"
Chick-fil-A in Mt. Pleasant,Team Members - Earn FREE College! Up to $19 per hour,Mount Pleasant, ,N/A,"
Pending college and financial aid applications, you can get your degree online with free tuition - you just pay for books!
Job Types: Full-time, Part-time.
"
Seabrook Island Club,"newSteward/Dishwasher - $1,000 Hiring Bonus!",Johns Island, ,N/A,"
We offer a variety of full time, part time, year-round and seasonal employment opportunities.
Use of Club Amenities (including golf).
"
Indeed Flex,newCustomer Service Representative,San Marcos, ,N/A,"
Full-time or part-time (15 to 40 hours a week).
Indeed Flex is seeking Full-time and Part-time Customer Service Representatives for one of our clients in San…
"
Avis Budget Group,Car Detailer,North Charleston, ,N/A,"
This role requires the ability to lift up to 15 pounds, and continuously stand, walk, and enter and exit vehicles.
Ability to drive multiple types of vehicles.
"
Bintelli,Delivery Driver for Golf Carts,Charleston, ,N/A,"
You will be responsible for delivering new and pre-owned vehicles to their new owners and picking up vehicles for repair!
Job Types: Full-time, Part-time.
"
North Charleston Marriott,newHotel Maintenance Engineer *$15-$16/hr*,North Charleston, ,N/A,"
The Engineer II must maintain a safe and working environment throughout the hotel by providing an attractive, clean and well-maintained property.
"
Indeed Flex,Assembler,Dallas, ,N/A,"
Accurate assembly of electronic subassemblies and systems according to engineering drawings.
Follow engineering drawings, sample assemblies and verbal…
"
New Balance,Retail Sales Associate (Seasonal)- Starting at $15,Charleston, ,N/A,"
Retail Sale Associates ensure our retail stores operate smoothly and provide exemplary customer service.
Educated with expert product knowledge, they utilize…
"
The Kickin' Chicken -West Ashley,Server - Fun Fast Money - West Ashley,Charleston, ,N/A,"
Earn $15-$25 per hour, with potentially more on the weekends!
Shifts are high energy, and smiles are necessary.
Recognize our Loyalty Members and newbies.
"
Conns Home Plus,Sales Associate : $15/hr PLUS Commission,North Charleston, ,N/A,"
The Retail Sales Associate partners closely with the store leadership team to achieve sales objectives and ultimately meet the needs of our customer!
"
CSL Plasma,Phlebotomist,Charleston, ,N/A,"
15 May be cross-trained in other areas to meet the needs of the business. .
 Responsible for the efficient and effective collection of plasma from donors by…
"
Stratford Place Assisted Living & Memory Care,Dietary Aide/Cook $15 hour,Goose Creek, ,N/A,"
We are looking for part-time and full-time cooks.
High school or equivalent (Preferred).
"
GEICO,Customer Service Representative,Fredericksburg, ,N/A,"
Top associates can see increases up to 15%!
This role is for people who want to provide our policyholders the excellent customer service they want and need.
"
Zaxby's,newCashier,North Charleston, ,N/A,"Company Introduction: Zaxby's is an American chain of fast casual restaurants offering chicken wings, chicken fingers, sandwiches, and salads. The chain…"
Adidas,Part Time Sales Associate,North Charleston, ,N/A,At adidas we have been challenging the status quo for over 70 years and we’re not done yet. We are calling all Store Associates who don’t accept what “was”…
Chick-fil-A Savannah Highway and Citadel Mall,Chick-fil-A Delivery Driver | $16+ per hour starting,Charleston, ,N/A,*Choose chicken! Come join our 2x Symbol of Success Chick-fil-A family.* We are recruiting full and part-time team members to serve as delivery drivers in our…
The Charleston Place,newFront Desk Agent,Charleston, ,N/A,"We believe that hospitality is a transformative art — that this “place” can do more than inspire and nurture its guests, team, and partners. It can…"
Safelite Autoglass,Customer Care Agent - OHIO residents only (Full Time),Columbus, ,N/A,Ohio Residents only Does this position interest you? You should apply – even if you don’t match every single requirement! We're known as an auto glass…
"Sony Pictures Entertainment, Inc.","newScreen Gems Development Trainee, MPG - Summer/Fall 2022",Culver City, ,N/A,"The Sony Pictures Entertainment Professional Trainee program offers a unique opportunity to work alongside the teams that come together to create movies, TV…"
Commonwise Home Care,Caregiver CNA ($16-$18 per hour),Charleston, ,N/A,"Job Description: Rewarding, flexible, high-paying job with great benefits such as healthcare, paid time off and more. Part time and full time positions…"
The Charleston Place,newLine Cook,Charleston, ,N/A,"We believe that hospitality is a transformative art — that this “place” can do more than inspire and nurture its guests, team, and partners. It can…"
The Charleston Place,newReservations Agent,Charleston, ,N/A,"We believe that hospitality is a transformative art — that this “place” can do more than inspire and nurture its guests, team, and partners. It can…"
"Liberty Doctors, LLC",newMedical Front Desk Receptionist (053-014),North Charleston, ,N/A,"*Liberty Doctors* is looking for an experienced *Full time Front Office Receptionist* to work in a busy, 3 provider practice in North Charleston. Must be a…"
Discount Tire,newTire Service Technician - North Charleston,North Charleston, ,N/A,"Overview: Part Time Tire Technician NO AUTOMOTIVE EXPERIENCE REQUIRED: WE PAY YOU WHILE WE TRAIN YOU! NOW HIRING! Pay Scale $14-$16 At Discount Tire, our…"
Stars and Strikes,Arcade Attendant,Summerville, ,N/A,"Stars and Strikes Family Entertainment Center is seeking outgoing, energetic personalities to join our team! Stars and Strikes Arcade Attendants are…"
Panera Bread - Franchises,newNow Hiring - Team Member - Panera Bread - Ashley Phosphate,North Charleston, ,N/A,Nobody promotes faster than Panera Bread! Are you enthusiastic and good with people? Do you need a part-time or full-time job? Would you like to be a part of…
The Charleston Place,Housekeeping Room Attendant,Charleston, ,N/A,"We believe that hospitality is a transformative art — that this “place” can do more than inspire and nurture its guests, team, and partners. It can…"
Wendy's,Wendy's Crew Member,Goose Creek, ,N/A,"Immediate openings for CREW MEMBERS at our locations below! 101 Red Bank Road Goose Creek, SC No experience is necessary. We will teach you everything…"
Zaxby's,newCashier,North Charleston, ,N/A,"
Cashiers are the first point of contact for our guests and are directly responsible for delivering a great experience.
Must be 16 years of age or older.
"
Wendy's,Wendy's Crew Member,North Charleston, ,N/A,"
Utilizing knowledge of positional skills, customer service and courtesy, health and safety regulations and all Wendy's policies and procedures.
"
Papa John's Pizza,Team Members N. Chas / Hanahan,North Charleston, ,N/A,"
We have a part-time/full-time opening for a Team Member.
You must be hard working, team-oriented, friendly, honest and have great customer service skills.
"
Stars and Strikes,Arcade Attendant,Summerville, ,Estimated $19.7K - $24.9K a year,"
Stars and Strikes Arcade Attendants are responsible for providing an exciting, entertaining, and safe playing environment for all guests.
16 years + of age.
"
Chipotle Mexican Grill,Team Member - Monday through Friday 8a-4p,Charleston, ,N/A,"
Tuition assistance (100% coverage for select degrees or up to $5,250/year).
Free food (yes, really FREE).
Medical, dental, and vision insurance.
"
Famous Adventures,Summer Camp Assistant,Charleston, ,N/A,"
At least 17 years old.
Each day includes one outdoor activity like surfing or a dolphin tour, and the rest of the day is flexible, within budget and operations…
"
"Cinemark USA, Inc",Theatre Team Member,Summerville, ,N/A,"
Cinemark Team Members create a welcoming environment for our Guests.
This individual enforces movie studio and theatre admission policies.
"
Wegmans Food Markets,newCashier,Washington, ,N/A,"
Please provide as much availability that works with your schedule.
Age Requirement: Must be 15 years or older.
Flexibility in scheduling—work-life balance.
"
U-Haul,newSales & Reservations Agent (Work From Home) (Part Time),Remote in Savannah, ,N/A,"
Hourly base of $13, plus discretionary sales bonus – the potential to earn $17-20 per hour!
Learn and grow as you participate in weekly coaching and on-going…
"
American Eagle Outfitters,AE - Brand Ambassador (Sales Associate) - US,North Charleston, ,N/A,"
You use the AEO Selling Model to engage with every guest to help them find exactly what they're looking for, and you do so with a ""friends first"" mindset.
"
Parker's Convenience Stores,Food Service Associate #79,Charleston, ,N/A,"
Free drinks and 50% off Parker’s prepared food while at work!
Health, Dental, and Vision Insurance.
Gym membership discounts - 24/7 Fitness, Planet Fitness, 180…
"
Panera Bread - Franchises,newNow Hiring - Team Member - Panera Bread - Ashley Phosphate,North Charleston, ,N/A,"
General hours of operation from 6:00 am-9:00 pm (some cafes and times vary).
Able to work 15-40 hours a week!
Job Types: Full-time, Part-time.
"
Harborage at Ashley Marina,Marina Dockhand/Attendant,Charleston, ,N/A,"
Looking for highly motivated individuals with experience in customer service and boating.
High problem solving skills are necessary while being able to…
"
Raising Cane's,Cashier,North Charleston, ,N/A,"
A Restaurant Crewmember has the primary responsibility of providing a positive Customer experience, including ensuring all food orders are prepared to Raising…
"
Zaxby's,newKitchen team member,North Charleston, ,N/A,"
Full-time and Part-time jobs available!
This position is classified as non-exempt and reports to the Assistant Manager and General Manager.
"
Southwest Airlines,newRamp Agent,Charleston, ,N/A,"
OTHER QUALIFICATIONS Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines Must be a U.S. citizen or…
"
"Connec-to-Talk, LLC",ABA Therapist (Entry Level),North Charleston, ,N/A,"
Entry level applicants with related experience welcome to apply - we offer ample training and support!*.
The ABA Therapist implements learning programs under…
"
Coca Cola Consolidated,Part Time Warehouse Material Handler - 1st and 2nd shifts,North Charleston, ,N/A,"
Must be 18 years of age or older.
1st Shift and 2nd Shifts, * Weekends and holiday work also likely.
This is accomplished by traveling throughout the Warehouse…
"
Worldwide Flight Services,Warehouse Agent,Pennsylvania+15 locations, ,N/A,"
You must have 2 forms of current unexpired IDs (no copies) at the time of the interview or it will be rescheduled.
Must pass a Drug Test and Background Screen.
"
TSA (Transportation Security Administration),Intelligence Operations Specialist (Watch Officer),United States+1 location, ,N/A,"
You must have reached the minimum age (18) at the time of application.
Intelligence Operations Specialist (Watch Officer).
02/16/2022 to 02/15/2023.
"
PepsiCo Beverages North America,Warehouse Person (Loader) (Full-Time Evenings),Charleston, ,N/A,"
This labor-intensive position is responsible for hand building pallets of product for bulk, and route trucks.
Works from Electronic order system or order sheets…
"
West CAP,newCustomer Experience,Remote, ,N/A,"
According to a recent CDC study, nearly 50% of Americans want to lose weight, and on average, Americans have gained 30 lbs during the pandemic.
"
Bella Nuda Arts Ltd. Co.,Art Model: Photography Shoots,Charleston, ,N/A,"
_Must be at least 18 years of age._.
A small percentage of edited images are marketed for limited edition art prints and art books through major international…
"
US Department of State - Agency Wide,Passport Specialist,Remote in New York, ,N/A,"
If you cannot obtain your graduate school's definition of one year of graduate study, 18 semester hours (or 27 quarter hours) should be considered as satisfying…
"
US Defense Commissary Agency,newStore Worker,Guam+63 locations, ,N/A,"
Employing those under 18 may be possible under certain circumstances.
If under 18 years of age, ensure you provide documentation showing how you are eligible.
"
Converse,newConverse Charleston Associate Retail Sales Part-Time Under,North Charleston, ,N/A,"
Must be 18 years of age.
All retail opportunities nationwide have a starting wage of at least $15.00 per hour.
High school or equivalent (Preferred).
"
Vacasa,newHousekeeper - $23/hr,Oregon+126 locations, ,N/A,"
Employees who are required to drive a personal vehicle must have reliable transportation, a valid driver's license, and be at least 18 years of age.
"
Carolina Park Academy,Assistant Teacher/Floater,Mount Pleasant, ,N/A,"
Must be at least 18 years old.
High school diploma or GED required.
Must have experience working in a licensed child care or preschool.
"
PeopleOps Jobs,newHead of Talent,Remote, ,N/A,"
Average time-to-offer ≤ 18 days.
> Partnered with Coinbase, TurboTax, OpenSea, and other industry leaders.
Lead CoinTracker’s Talent function by building and…
"
Commonwise Home Care,Caregiver CNA ($16-$18 per hour),Charleston, ,N/A,"
Rewarding, flexible, high-paying job with great benefits such as healthcare, paid time off and more.
Part time and full time positions available.
"
Callie's Hot Little Biscuit,Team Member/Baker - City Market - Part Time and Full Time op...,Charleston, ,N/A,"
Full time staff are eligible for health and voluntary benefits!
We offer maternity leave and 401k with a company match!
"
Market Pavilion Hotel | Grill 225,Morning Baker,Charleston, ,N/A,"
All staff members are required to wear masks while working at the hotel property, and COVID-19 viral mitigation protocols are observed.
"
Federal Bureau of Investigation,Special Agent,New York, ,N/A,"
You will be prompted to either Sign In to continue or to register with FBIJobs if you don’t already have an account.
Adhere to strict standards of conduct.
"
Wind Creek Hospitality,Room Attendant,Atmore, ,N/A,"
Must be nineteen (19) years of age or older.
The Hotel Housekeeping Room Attendant play a critical role in the overall guest experience by preparing guestrooms…
"
Rocky Mountain Poison & Drug Safety,Research Specialist,Hybrid remote in Denver, ,N/A,"
Facilitates project and team meetings.
Starting annual pay is $62,200 - $93,400.
20 Days of Paid Time Off to start and 7 paid holidays.
"
Confidential,Head butcher,Attica, ,N/A,"
Seeking A head butcher for a new full USDA butcher facility that will be open by fall of 2021 $30-$35hr must have experience with USDA guidelines and…
"
Lucent Group,Maintenance Services Regional Manager,Florida, ,N/A,"
Our Regional Manager of Environmental Services is responsible for the planning, organizing and overall operations of the maintenance, housekeeping and laundry…
"
Confidential,newFashion Model - Male,Houston, ,N/A,"
Male fashion model between ages of 19 and 25 needed for clothing line.
Must have toned chest with minimal chest hair.
Job Types: Part-time, Contract.
"
CentralBDC,newInside Sales Representative,+8 locationsRemote, ,N/A,"
Deliver extraordinary service on inbound and outbound calls in a fast-paced, structured customer care environment by following our Customer First philosophy.
"
Nucor Steel Berkeley,newNSBC - Purchasing Administrator,Huger, ,Estimated $41.4K - $52.4K a year,"
The role of the Purchasing Admin includes but is not limited to maintaining all related Purchasing files (Purchase Orders, Purchase Agreements, Vendor Contracts…
"
Medical University of South Carolina,Covid 19 Patient Registrar,Charleston, ,N/A,"
Under the direct supervision of the COVID-19 Testing Site lead, the role will perform multi-skilled activities to support the safe and efficient testing of…
"
LegalZoom,Inside Sales Representative - Remote,Remote, ,N/A,"
$19/ hr + $2,200 monthly incentive ($65,920 TTC).
Our Sales Representative role is the customer’s initial point of contact with LegalZoom, taking a consultative…
"
Callie's Hot Little Biscuit,Packing Lead,North Charleston, ,N/A,"
The Packing Lead is responsible for assisting the Shipping Manager on the floor with instructing our Shippers / Packers on the daily tasks and preparing…
"
Chewy,Fulfillment Specialist Night Shift,Arizona+93 locations, ,N/A,"
Have come into close contact with someone who has a confirmed or suspected case of a COVID-19 infection.
Being within approximately 6 feet (2 meters) of an…
"
WILLAMETTE FAMILY INC,newCompliance Officer,Remote, ,N/A,"
Be able to provide proof of COVID 19 Vaccination or furnish a valid exemption.
Position open until May 11th, 2022*.
Ability to manage time and meet deadlines.
"
Centratel,Remote Telephone Service Representative $20/hr Must reside i...,Remote in Kentucky, ,N/A,"
$20/hr. full-time, 40 hours a week (and with premium pay program enabling you to earn up to $28/hr.).
Up-to-date computer with Windows 10 or higher operating…
"
EMPWR Solar,Inspection Coordinator,Mount Pleasant, ,N/A,"
As the Inspection Coordinator, you will be responsible for scheduling final inspections required to close out permits, and be one of the final interactions our…
"
Evolution Americas,Online Casino Dealer *11pm - 7am shift* (averaging $20-$25 p...,Atlantic City, ,N/A,"
No prior dealing experience is required.
Host and deal with a variety of casino games in a live studio streamed to real players in a rotating shift work…
"
Epic Games,Game Tester,Cary, ,Estimated $57.5K - $72.9K a year,"
You'll love this role if you're an innovative problem-solver who loves to ask the tough questions; you should be willing and excited to constantly push your own…
"
The Daily,Barista/FOH,Charleston, ,N/A,"
The Daily is open 7am to 3 or 4pm every day, so weekday and weekend availability is a must.
Employee discount at The Daily and Butcher & Bee.
"
Adidas,Part Time Sales Associate,North Charleston, ,N/A,"
Availability must be flexible and include evenings and weekends.
Hours are part time and will vary based on business needs.
Must be 16 years of age or older.
"
"Excellence Services, LLC",newRemote Personal Assistant,Remote, ,N/A,"
Up to 20%* performance-based Bonus.
Full-time, Typically Monday-Friday.
Primary responsibilities of the *Remote Personal Assistant* will include providing the…
"
Chewy,Warehouse Worker,Arizona+126 locations, ,N/A,"
Overtime available with additional incentives offered on a week-to-week basis!
Night shifts start from $17.50 - $18.50!!
Wellness programs, Teledoc, and EAP.
"
SM&A,Scheduler For Aircraft,+1 locationRemote, ,N/A,"
Scheduler For Aircraft: A Scheduler has hands-on expertise with Microsoft Project, Oracle Primavera, FastTrack, or other scheduling systems.
"
U.S. Customs and Border Protection,newCustoms & Border Protection Support Jobs Recruitment Webinar...,Illinois+9 locations, ,N/A,"
To maintain our status as a high-performing Federal law enforcement organization, we continue to rely on our diverse and dynamic workforce with individuals who…
"
Bintelli,Delivery Driver for Golf Carts,Charleston, ,N/A,"
You must have experience and be comfortable driving a truck that tows a 20' trailer and you must be comfortable speaking with customers and showing them how…
"
DEX Imaging,Part time REMOTE Tier 2 Customer Service Rep,Remote in North Charleston, ,N/A,"
Starting pay $20 per hour!
Up to 20 hours per week from 10am - 2pm M-F!
We are looking for part-time, remote Tier 2 Customer Support Representative to handle…
"
Emerson Ecologics,Pickers and Packers! $18.25 - $20.00/hr ! 4-day work week!,Virginia+3 locations, ,N/A,"
Must be able to lift up 0 - 20 lbs. continuously.
Must be able to lift up 20 - 40 lbs. frequently.
Our employees enjoy competitive benefits, employee events,…
"
Melfi's,Server's Assistant ($20+/hr),Charleston, ,N/A,"
The ideal candidate will be very service and detail oriented, with an interest in wine service, food, cocktails, beer, and all things Italian.
"
